album,track_title,track_url
Jay z reasonable Doubt,Can't Knock The Hustle,https://www.youtube.com/watch?v=8P12bMQMXLA&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=1
Jay z reasonable Doubt,Politics As Usual,https://www.youtube.com/watch?v=pUGLfN4oSCg&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=2
Jay z reasonable Doubt,Brooklyn's Finest,https://www.youtube.com/watch?v=gwbUtfEJ8lE&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=3
Jay z reasonable Doubt,Dead Presidents II,https://www.youtube.com/watch?v=p3grvCbdONk&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=4
Jay z reasonable Doubt,Feelin' It,https://www.youtube.com/watch?v=2MggS4f-Puc&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=5
Jay z reasonable Doubt,D'evils,https://www.youtube.com/watch?v=xjEoo14xHRs&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=6
Jay z reasonable Doubt,22 Two's,https://www.youtube.com/watch?v=u4FKKegTGFU&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=7
Jay z reasonable Doubt,Can I Live,https://www.youtube.com/watch?v=auWvT_rwRPU&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=8
Jay z reasonable Doubt,Ain't No Nigga,https://www.youtube.com/watch?v=YZ_LRnj-2fI&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=9
Jay z reasonable Doubt,Friend Or Foe,https://www.youtube.com/watch?v=JEYcr5iMjm0&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=10
Jay z reasonable Doubt,Coming Of Age,https://www.youtube.com/watch?v=3HjubPJ-Xjk&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=11
Jay z reasonable Doubt,Cashmere Thoughts,https://www.youtube.com/watch?v=Vf2LNPFLPAE&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=12
Jay z reasonable Doubt,Bring It On,https://www.youtube.com/watch?v=AGIsPZFJ4PU&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=13
Jay z reasonable Doubt,Regrets,https://www.youtube.com/watch?v=uABZCd1O08c&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=14
Jay z reasonable Doubt,Can I Live II,https://www.youtube.com/watch?v=yBQ210avlx4&list=PLJ808X3foyC7q4qwNDCNuuQL7m-4natMj&index=15
